Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
2.2200        -316.7462    -318.9394       2.1932   326.3
2.2300        -316.7414    -318.7360       1.9946   296.7
2.2400        -316.7673    -319.1336       2.3663   352.0
2.2500        -316.7995    -319.1106       2.3111   343.8
2.2600        -316.8322    -319.4853       2.6530   394.7
2.2700        -316.8988    -319.4050       2.5061   372.9
2.2800        -316.9454    -319.3040       2.3585   350.9
2.2900        -316.9845    -319.4076       2.4231   360.5
2.3000        -317.0172    -319.3862       2.3690   352.5
2.3100        -317.0462    -319.3866       2.3404   348.2
2.3200        -317.0906    -319.4046       2.3140   344.3
2.3300        -317.1138    -319.4441       2.3303   346.7
2.3400        -317.1489    -319.5025       2.3536   350.2
2.3500        -317.1925    -319.7344       2.5420   378.2
2.3600        -317.2526    -319.7482       2.4955   371.3
2.3700        -317.2877    -319.6876       2.4000   357.1
2.3800        -317.3313    -319.8112       2.4799   368.9
2.3900        -317.3808    -319.9758       2.5950   386.1
2.4000        -317.4231    -319.7980       2.3749   353.3
2.4100        -317.4663    -319.8045       2.3382   347.9
2.4200        -317.4916    -319.7147       2.2231   330.7
2.4300        -317.4907    -319.4716       1.9808   294.7
2.4400        -317.5015    -319.6349       2.1334   317.4
2.4500        -317.5183    -319.6766       2.1584   321.1
2.4600        -317.5400    -319.8061       2.2661   337.1
2.4700        -317.5753    -320.0571       2.4818   369.2
2.4800        -317.6271    -320.0188       2.3917   355.8
2.4900        -317.6736    -320.0975       2.4239   360.6
2.5000        -317.7009    -319.9648       2.2640   336.8
2.5100        -317.7266    -320.0181       2.2915   340.9
2.5200        -317.7374    -319.9305       2.1932   326.3
2.5300        -317.7512    -319.6534       1.9022   283.0
2.5400        -317.7507    -319.9243       2.1736   323.4
2.5500        -317.7598    -319.9031       2.1433   318.9
2.5600        -317.7680    -320.0353       2.2673   337.3
2.5700        -317.8115    -320.3246       2.5131   373.9
2.5800        -317.8658    -320.4760       2.6103   388.3
2.5900        -317.9090    -320.0857       2.1766   323.8
2.6000        -317.9209    -319.9934       2.0725   308.3
2.6100        -317.9295    -319.9685       2.0391   303.4
2.6200        -317.9428    -320.1160       2.1733   323.3
2.6300        -317.9682    -320.2412       2.2730   338.2
2.6400        -317.9928    -320.1348       2.1419   318.7
2.6500        -317.9983    -319.9805       1.9822   294.9
2.6600        -317.9981    -320.0703       2.0722   308.3
2.6700        -318.0158    -320.1304       2.1146   314.6
2.6800        -318.0228    -320.1715       2.1487   319.7
2.6900        -318.0364    -320.0688       2.0323   302.4
2.7000        -318.0485    -320.1872       2.1387   318.2
2.7100        -318.0611    -320.1342       2.0731   308.4
2.7200        -318.0511    -319.9211       1.8700   278.2
2.7300        -318.0378    -319.8987       1.8610   276.9
2.7400        -318.0473    -320.3028       2.2554   335.6
2.7500        -318.0719    -320.2450       2.1731   323.3
2.7600        -318.0680    -319.9206       1.8526   275.6
2.7700        -318.0493    -319.8870       1.8377   273.4
2.7800        -318.0413    -320.1727       2.1313   317.1
2.7900        -318.0533    -320.2392       2.1859   325.2
