pair,distance,rdf
Si-O,4.8200,0.000000
Si-O,4.8600,0.000000
Si-O,4.9000,0.000000
Si-O,4.9400,0.000000
Si-O,4.9800,0.000000
Si-O,5.0200,0.000000
Si-O,5.0600,0.000000
Si-O,5.1000,0.000000
Si-O,5.1400,1.880052
Si-O,5.1800,0.000000
Si-O,5.2200,0.000000
Si-O,5.2600,0.000000
Si-O,5.3000,0.000000
Si-O,5.3400,0.000000
Si-O,5.3800,0.000000
Si-O,5.4200,0.000000
Si-O,5.4600,0.000000
Si-O,5.5000,0.000000
Si-O,5.5400,0.000000
Si-O,5.5800,0.000000
Si-O,5.6200,0.000000
Si-O,5.6600,0.000000
Si-O,5.7000,0.000000
Si-O,5.7400,0.000000
Si-O,5.7800,0.000000
Si-O,5.8200,0.000000
Si-O,5.8600,0.000000
Si-O,5.9000,0.000000
Si-O,5.9400,0.000000
Si-O,5.9800,0.000000
Si-O,6.0200,1.370576
Si-O,6.0600,1.352542
Si-O,6.1000,0.000000
Si-O,6.1400,0.000000
Si-O,6.1800,0.000000
Si-O,6.2200,0.000000
Si-O,6.2600,1.267498
Si-O,6.3000,0.000000
Si-O,6.3400,0.000000
Si-O,6.3800,0.000000
Si-O,6.4200,1.205108
Si-O,6.4600,0.000000
Si-O,6.5000,1.175626
Si-O,6.5400,0.000000
Si-O,6.5800,0.000000
Si-O,6.6200,0.000000
Si-O,6.6600,0.000000
Si-O,6.7000,0.000000
Si-O,6.7400,0.000000
Si-O,6.7800,0.000000
Si-O,6.8200,0.000000
Si-O,6.8600,0.000000
Si-O,6.9000,0.000000
Si-O,6.9400,0.000000
Si-O,6.9800,0.000000
Si-O,7.0200,0.000000
Si-O,7.0600,0.000000
Si-O,7.1000,0.328442
Si-O,7.1400,0.000000
Si-O,7.1800,0.000000
Si-O,7.2200,0.000000
Si-O,7.2600,0.314124
Si-O,7.3000,0.000000
Si-O,7.3400,0.000000
Si-O,7.3800,0.303992
Si-O,7.4200,0.000000
Si-O,7.4600,0.000000
Si-O,7.5000,0.000000
Si-O,7.5400,0.000000
Si-O,7.5800,0.000000
Si-O,7.6200,0.000000
Si-O,7.6600,0.000000
Si-O,7.7000,0.000000
Si-O,7.7400,0.000000
Si-O,7.7800,0.000000
Si-O,7.8200,0.000000
Si-O,7.8600,0.000000
Si-O,7.9000,0.000000
Si-O,7.9400,0.000000
Si-O,7.9800,0.000000
Ca-Ca,0.0200,0.000000
Ca-Ca,0.0600,0.000000
Ca-Ca,0.1000,0.000000
Ca-Ca,0.1400,0.000000
Ca-Ca,0.1800,0.000000
Ca-Ca,0.2200,0.000000
Ca-Ca,0.2600,0.000000
Ca-Ca,0.3000,0.000000
Ca-Ca,0.3400,0.000000
Ca-Ca,0.3800,0.000000
Ca-Ca,0.4200,0.000000
Ca-Ca,0.4600,0.000000
Ca-Ca,0.5000,0.000000
Ca-Ca,0.5400,0.000000
Ca-Ca,0.5800,0.000000
Ca-Ca,0.6200,0.000000
Ca-Ca,0.6600,0.000000
Ca-Ca,0.7000,0.000000
Ca-Ca,0.7400,0.000000
Ca-Ca,0.7800,0.000000
Ca-Ca,0.8200,0.000000
Ca-Ca,0.8600,0.000000
Ca-Ca,0.9000,0.000000
Ca-Ca,0.9400,0.000000
Ca-Ca,0.9800,0.000000
Ca-Ca,1.0200,0.000000
Ca-Ca,1.0600,0.000000
Ca-Ca,1.1000,0.000000
Ca-Ca,1.1400,0.000000
Ca-Ca,1.1800,0.000000
Ca-Ca,1.2200,0.000000
Ca-Ca,1.2600,0.000000
Ca-Ca,1.3000,0.000000
Ca-Ca,1.3400,0.000000
Ca-Ca,1.3800,0.000000
Ca-Ca,1.4200,0.000000
Ca-Ca,1.4600,0.000000
Ca-Ca,1.5000,0.000000
Ca-Ca,1.5400,0.000000
Ca-Ca,1.5800,0.000000
Ca-Ca,1.6200,0.000000
Ca-Ca,1.6600,0.000000
Ca-Ca,1.7000,0.000000
Ca-Ca,1.7400,0.000000
Ca-Ca,1.7800,0.000000
Ca-Ca,1.8200,0.000000
Ca-Ca,1.8600,0.000000
Ca-Ca,1.9000,0.000000
Ca-Ca,1.9400,0.000000
Ca-Ca,1.9800,0.000000
Ca-Ca,2.0200,0.000000
Ca-Ca,2.0600,0.000000
Ca-Ca,2.1000,0.000000
Ca-Ca,2.1400,0.000000
Ca-Ca,2.1800,0.000000
Ca-Ca,2.2200,0.000000
Ca-Ca,2.2600,0.000000
Ca-Ca,2.3000,0.000000
Ca-Ca,2.3400,0.000000
Ca-Ca,2.3800,0.000000
Ca-Ca,2.4200,0.000000
Ca-Ca,2.4600,0.000000
Ca-Ca,2.5000,0.000000
Ca-Ca,2.5400,0.000000
Ca-Ca,2.5800,0.000000
Ca-Ca,2.6200,0.000000
Ca-Ca,2.6600,0.000000
Ca-Ca,2.7000,0.000000
Ca-Ca,2.7400,0.000000
Ca-Ca,2.7800,0.000000
Ca-Ca,2.8200,0.000000
Ca-Ca,2.8600,0.000000
Ca-Ca,2.9000,0.000000
Ca-Ca,2.9400,0.000000
Ca-Ca,2.9800,0.000000
Ca-Ca,3.0200,0.000000
Ca-Ca,3.0600,0.000000
Ca-Ca,3.1000,0.000000
Ca-Ca,3.1400,0.000000
Ca-Ca,3.1800,0.000000
Ca-Ca,3.2200,0.000000
Ca-Ca,3.2600,0.000000
Ca-Ca,3.3000,10.135744
Ca-Ca,3.3400,4.947213
Ca-Ca,3.3800,9.661624
Ca-Ca,3.4200,0.000000
Ca-Ca,3.4600,0.000000
Ca-Ca,3.5000,9.010470
Ca-Ca,3.5400,0.000000
Ca-Ca,3.5800,0.000000
Ca-Ca,3.6200,0.000000
Ca-Ca,3.6600,8.239889
Ca-Ca,3.7000,0.000000
Ca-Ca,3.7400,0.000000
Ca-Ca,3.7800,0.000000
Ca-Ca,3.8200,0.000000
Ca-Ca,3.8600,0.000000
Ca-Ca,3.9000,0.000000
Ca-Ca,3.9400,0.000000
Ca-Ca,3.9800,0.000000
Ca-Ca,4.0200,0.000000
