time_ps,close_pairs,min_distance,mean_distance
1.090000,9,2.817497,4.460683
1.100000,9,2.828289,4.423603
1.110000,10,2.794073,4.207895
1.120000,10,2.739932,4.209799
1.130000,11,2.730828,4.214255
1.140000,11,2.736895,4.216050
1.150000,9,2.748453,4.616005
1.160000,9,2.824033,4.706073
1.170000,10,2.929260,4.529974
1.180000,10,2.970092,4.534485
1.190000,10,2.977236,4.571754
1.200000,9,2.958915,4.565728
1.210000,9,2.925107,4.646893
1.220000,8,2.930225,4.818410
1.230000,8,2.908329,4.813365
1.240000,7,2.920482,4.667520
1.250000,7,2.910294,4.666849
1.260000,7,2.887406,4.667816
1.270000,7,2.914348,4.713760
1.280000,6,2.943367,4.712423
1.290000,7,2.907805,4.506258
1.300000,8,2.875623,4.505307
1.310000,9,2.909514,4.320495
1.320000,9,2.947945,4.319553
1.330000,10,2.947094,4.320824
1.340000,10,2.959735,4.324728
1.350000,8,2.891339,4.362405
1.360000,9,2.895470,4.365247
1.370000,9,2.860758,4.368593
1.380000,9,2.869953,4.374563
1.390000,7,2.913397,4.666983
1.400000,7,2.911832,4.670116
1.410000,7,2.904581,4.671017
1.420000,8,2.932438,4.508571
1.430000,8,2.930667,4.502800
1.440000,9,2.870927,4.290730
1.450000,11,2.853925,4.288378
1.460000,10,2.908361,4.581240
1.470000,10,2.939922,4.571076
1.480000,10,2.947231,4.562240
1.490000,10,2.975155,4.530880
1.500000,10,2.994827,4.525081
1.510000,10,2.955379,4.519881
1.520000,10,2.922274,4.520372
1.530000,10,2.939681,4.526468
1.540000,10,2.973195,4.534877
1.550000,9,2.995975,4.621679
1.560000,10,3.030060,4.443318
1.570000,10,3.058797,4.441998
1.580000,11,3.034414,4.231403
1.590000,11,3.003315,4.230715
1.600000,10,3.010697,4.228639
1.610000,11,3.015208,4.224485
1.620000,12,2.998037,4.222256
1.630000,11,3.000146,4.142671
1.640000,11,2.998817,4.146263
1.650000,10,2.930314,4.362870
1.660000,10,2.850412,4.367452
1.670000,9,2.828464,4.380317
1.680000,6,2.820328,4.770816
1.690000,8,2.817965,4.585981
1.700000,8,2.855375,4.742440
1.710000,8,2.876548,4.734054
1.720000,6,2.820285,4.854832
1.730000,6,2.772328,4.672748
1.740000,8,2.787612,4.669476
1.750000,7,2.803130,4.665744
1.760000,8,2.800055,4.545559
1.770000,9,2.828922,4.732915
1.780000,8,2.858163,4.724845
1.790000,7,2.826796,4.532289
1.800000,7,2.799659,4.530258
1.810000,7,2.829174,4.524481
1.820000,7,2.848537,4.517159
1.830000,7,2.850294,4.511495
1.840000,7,2.889443,4.506781
1.850000,6,2.934621,4.671296
1.860000,7,2.921640,4.672767
1.870000,8,2.907337,4.503061
1.880000,9,2.944805,4.593367
1.890000,10,2.981990,4.599472
1.900000,10,2.993476,4.609957
1.910000,9,3.043703,4.620467
1.920000,9,3.045164,4.419197
1.930000,9,2.996920,4.422313
1.940000,10,2.920337,4.428085
1.950000,9,2.926753,4.434938
1.960000,9,2.998874,4.439872
1.970000,11,3.053967,4.373500
1.980000,11,3.076320,4.293827
1.990000,10,3.031451,4.303247
2.000000,10,3.021712,4.306967
